COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_ELEMENTO;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CENTRO;COD_VIAL;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;HORARIO;OBSERVACIONES
;contenedor de aceite;;;;Calle  Silvano, 71;;Mercadillo en la vía pública de la calle Alcorisa - camino Silvano ;;Calle;;Silvano;número;71;;;16;Hortaleza;445701,01;4479178,19;40,4615;-3,6405;Martes y Sábados 9:00 a 14:00;
;contenedor de aceite;;;;Calle  Aragoneses, 1;;Mercadillo en la vía pública de la calle Aragoneses;;Calle;;Aragoneses;número;1;;;13;Puente de Vallecas;445343,68;4470400,27;40,3824;-3,6439;Lunes 9:00 a 14:00;
;contenedor de aceite;;;;Calle  Ayerbe, 22;;Mercadillo en la vía pública de la calle Ayerbe ;;Calle;;Ayerbe;número;22;;;21;Barajas;451049,17;4480184,75;40,4709;-3,5775;Sábados 9:00 a 14:00;excepto durante las fiestas del distrito que se celebran en septiembre
;contenedor de aceite;;;;Calle  Ramón Pérez de Ayala, 17;;Mercadillo en la vía pública de la calle Fontarrón;;Calle;;Ramón Pérez de Ayala;número;17;;;13;Puente de Vallecas;444761,28;4472236,11;40,3989;-3,6509;Jueves 9:00 a 14:00;
;contenedor de aceite;;;;Calle  Gandhi, 16;;Mercadillo en la vía pública de la calle Gandhi ;;Calle;;Gandhi;número;16;;;15;Ciudad Lineal;445940,22;4475080,35;40,4246;-3,6373;Viernes 9:00 a 14:00;
;contenedor de aceite;;;;Calle  Vicente Quesada, 4;;Mercadillo en la vía pública de la calle Gorrión ;;Calle;;Vicente Quesada;número;4;;;11;Carabanchel;438026,51;4472066,71;40,3969;-3,7303;Lunes 9:00 a 14:00;excepto festivos
;contenedor de aceite;;;;Calle  San Roman del Valle, 8;;Mercadillo en la vía pública de la calle San Román del Valle ;;Calle;;San Roman del Valle;número;8;;;20;San Blas-Canillejas;447255,96;4474593,66;40,4203;-3,6217;Martes 9:00 a 14:00;
;contenedor de aceite;;;;Avenida  Trece Rosas, 9;;Mercadillo en la vía pública de la calle Santa Genoveva ;;Avenida;;Trece Rosas;número;9;;;15;Ciudad Lineal;445110,22;4475268,44;"40,42624
";" -3,64708
";Jueves y sábados 9:00 a 14:00;excepto durante las fiestas del distrito celebradas durante dos semanas de septiembre
;contenedor de aceite;;;;Calle  Sierra Gorda, 31;;Mercadillo en la vía pública de la calle Sierra Gorda ;;Calle;;Sierra Gorda;número;31;;;18;Villa de Vallecas;447536,8;4470229,21;40,381;-3,61807;Martes 9:00 a 14:00.;
;contenedor de aceite;;;;Calle  Villablanca, 87;;Mercadillo en la vía pública de la calle Villablanca ;;Calle;;Villablanca;número;87;;;19;Vicálvaro;448696,23;4473173,91;40,4076;-3,6046;Jueves 9:00 a 14:00;excepto jueves santo y fiestas del Distrito (celebradas en junio)
;contenedor de aceite;;;;Paseo  Gigantes Y Cabezudos, 54;;Mercadillo en la vía pública de la colonia Ciudad de los Ángeles ;;Paseo;;Gigantes Y Cabezudos;número;54;;;17;Villaverde;441087,14;4467335,42;40,3545;-3,6938;Jueves 9:00 a 14:00;
;contenedor de aceite;;;;Calle  San Eustaquio, 29;;Mercadillo en la vía pública de la colonia Marconi ;;Calle;;San Eustaquio;número;29;;;17;Villaverde;440448,08;4464921,65;40,3327;-3,7011;Domingos 9:00 a 14:00;
;contenedor de aceite;;;;Avenida  Orcasur, 60;;Mercadillo en la vía pública de Orcasur ;;Avenida;;Orcasur;número;60;;;13;Usera;440561,44;4468834,8;40,3680;-3,7001;Sábados 9:00 a 14:00;
;contenedor de aceite;;;;Plaza  Campillo del Mundo Nuevo, 3;;Mercadillo en la vía pública de Parque de la Cornisa ;;Plaza;;Campillo del Mundo Nuevo;número;3;;;01;Centro;439926,67;4473116,92;40,4065;-3,7080;Martes y Sábados 9:00 a 14:00;excepto festivos.
;contenedor de aceite;;;;Avenida  Poblados, 62;;Mercadillo en la vía pública de Rafael Finat ;;Avenida;;Poblados;número;62;;;10;Latina;435389,33;4470756,87;40,3849;-3,7612;Sábados 9:00 a 14:00;
;contenedor de aceite;;;;Ronda  Sur, 231;;Mercadillo en la vía pública de ronda del Sur ;;Ronda;;Sur;número;231;;;13;Puente de Vallecas;443704,06;4469435,54;40,3736;-3,6631;Domingos 9:00 a 14:00;
;contenedor de aceite;;;;Calle  Burjasot, 1;;Mercadillo en la vía pública de San Cristóbal de los Ángeles ;;Calle;;Burjasot;número;1;;;17;Villaverde;441662,76;4466220,88;40,3445;-3,6869;Jueves 9:00 a 14:00;
;contenedor de aceite;;;;Calle  San Restituto, 24;;Mercadillo en la vía pública de San Restituto ;;Calle;;San Restituto;número;24;;;09;Moncloa-Aravaca;439636,3;4479624,27;40,4651;-3,7120;Jueves 9:00 a 14:00;
;contenedor de aceite;;;;Calle  San Cugat del Valles, 8;;Mercadillo en la vía pública de Santa Ana ;;Calle;;San Cugat del Valles;número;8;;;08;Fuencarral-El Pardo;441081,61;4483142,8;40,4969;-3,6953;Miércoles 9:00 a 14:00;
