Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Código;Nº Cámara;Cámara;LONGITUD;LATITUD;NOMBRE
441255,239;4474817,409;43434;01  CENTRO;01-04 JUSTICIA;PRIM, CALLE, DE;14; Entrada;15 e;20;-3.6924806;40.4219137;PRIM, CALLE, DE, 14
441311,1834;4474973,965;43434;01  CENTRO;01-04 JUSTICIA;BARBARA DE BRAGANZA, CALLE, DE;13; Entrada;16 e;21;-3.6918357;40.4233279;BARBARA DE BRAGANZA, CALLE, DE, 13
441293,7807;4475221,451;43434;01  CENTRO;01-04 JUSTICIA;MARQUES DE LA ENSENADA, CALLE, DEL;3; Entrada;17 e;22;-3.6920636;40.4255562;MARQUES DE LA ENSENADA, CALLE, DEL, 3
441140,0168;4475338,354;43434;01  CENTRO;01-04 JUSTICIA;ARGENSOLA, CALLE, DE;30; Entrada;18 e;23;-3.6938869;40.4265984;ARGENSOLA, CALLE, DE, 30
440931,6834;4475411,521;43434;01  CENTRO;01-04 JUSTICIA;SANTA BARBARA, PLAZA, DE;3; Entrada;19 e;24;-3.6963496;40.4272428;SANTA BARBARA, PLAZA, DE, 3
440788,8501;4475495,076;43434;01  CENTRO;01-04 JUSTICIA;ANTONIO FLORES, CALLE, DE;6; Entrada;20 e;25;-3.6980411;40.4279854;ANTONIO FLORES, CALLE, DE, 6
440668,9057;4475529,354;43434;01  CENTRO;01-04 JUSTICIA;MEJIA LEQUERICA, CALLE, DE;23; Entrada;21.1 e;26;-3.6994582;40.4282856;MEJIA LEQUERICA, CALLE, DE, 23
440671,739;4475529,743;43434;01  CENTRO;01-04 JUSTICIA;MEJIA LEQUERICA, CALLE, DE;23; Entrada;21.2 e;27;-3.6994248;40.4282893;MEJIA LEQUERICA, CALLE, DE, 23
440577,6834;4475554,521;43434;01  CENTRO;01-04 JUSTICIA;LARRA, CALLE, DE;23; Entrada;22 e;28;-3.700536;40.4285058;LARRA, CALLE, DE, 23
440430,489;4475590,409;43434;01  CENTRO;01-04 JUSTICIA;FUENCARRAL, CALLE, DE;107; Entrada;23 e;29;-3.7022744;40.4288186;FUENCARRAL, CALLE, DE, 107
