COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_ELEMENTO;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CENTRO;COD_VIAL;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;HORARIO;OBSERVACIONES;;;;
64;Contenedor de ropa;;;;Calle  Pradillo, 33 ;;"Centro Deportivo Municipal ""Pradillo""";MADRID;Calle;;Pradillo;número;33;;;;Chamartin;443039,45;4477822,65;40.44911;-3.67172;;;;;;
65;Contenedor de ropa;;;;Avenida  Ramón y Cajal, 67 ;;Iglesia La Asuncion de Nuestra Señora;MADRID;Avenida;;Ramón y Cajal;número;67;;;;Chamartin;443317,68;4478171,39;40.45227;-3.66847;;;;;;
66;Contenedor de ropa;;;;Calle  Puerto Rico, 1 ;;Parroquia Nuestra Señora de Guadalupe;MADRID;Calle;;Puerto Rico;número;1;;;;Chamartin;442757,93;4478163,32;40.45216;-3.67507;;;;;;
67;Contenedor de ropa;;;;Calle  Principe de Vergara, 205 ;;;MADRID;Calle;;Principe de Vergara;número;205;;;;Chamartin;442503,15;4477888,95;40.44967;-3.67805;;;;;;
68;Contenedor de ropa;;;;Avenida  Dr. Arce, 32 ;;;MADRID;Avenida;;Dr. Arce;número;32;;;;Chamartin;442421,44;4477741,94;40.44834;-3.679;;;;;;
69;Contenedor de ropa;;;;Calle  López de Hoyos, 40 ;;CEIP Patriarca Obispo Eijo Garay;MADRID;Calle;;López de Hoyos;número;40;;;;Chamartin;442201,01;4476771,17;40.43958;-3.68151;;;;;;
70;Contenedor de ropa;;;;Calle  Pablo Aranda, 4 ;;;MADRID;Calle;;Pablo Aranda;número;4;;;;Chamartin;441873,14;4477031,25;40.4419;-3.6854;;;;;;
71;Contenedor de ropa;;;;Paseo de la  Habana, 5 ;;Instituto de Censores Jurados de Cuentas de España;MADRID;Paseo;de la ;Habana;número;5;;;;Chamartin;441478,23;4477727,04;40.44814;-3.69012;;;;;;
72;Contenedor de ropa;;;;Paseo de la  Habana, 54 ;;;MADRID;Paseo;de la ;Habana;número;54;;;;Chamartin;441789,49;4478039,88;40.45098;-3.68648;;;;;;
73;Contenedor de ropa;;;;Avenida  Concha Espina, 8 ;;ASICS - Madrid Concha Espina;MADRID;Avenida;;Concha Espina;número;8;;;;Chamartin;441652,74;4478131,96;40.4518;-3.6881;;;;;;
74;Contenedor de ropa;;;;Paseo de la Habana, 33 ;;Parroquia los Sagrados Corazones;MADRID;Paseo;de la;Habana;número;33;;;;Chamartin;441844,28;4478221,47;40.45262;-3.68585;;;;;;
