Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
359;;MARQUESINA MOD XXI 4-M STD;LATINA;GENERAL MILLAN ASTRAY;CALLE;55;ESQ C/DE LOS RODEOS;AV. RAFAEL FINAL;GENERAL MILLAN ASTRAY, CALLE Nº55 ESQ C/DE LOS RODEOS AV. RAFAEL FINAL;435144,2;4469863,4;SI;34/155/483/487/;435034,81;4469655,96;-3.7652742;40.374955
1941;;MARQUESINA MOD XXI 4-M STD;USERA;EVANGELIOS;CALLE;0;FTE Nº 1;C/ DOLORES BARRANCO;EVANGELIOS, CALLE Nº0 FTE Nº 1 C/ DOLORES BARRANCO;440686,6;4470740,3;SI;6/;440577,18;4470532,82;-3.700073;40.3832678
1945;;MARQUESINA MOD XXI 4-M STD;USERA;DOLORES BARRANCO;CALLE;50;ESQ C/ JASPE;RAFAELA YBARRA;DOLORES BARRANCO, CALLE Nº50 ESQ C/ JASPE RAFAELA YBARRA;440099,5;4470739,5;SI;6/;439990,08;4470532,02;-3.7069892;40.3832185
2541;;MARQUESINA MOD XXI 4-M STD;USERA;SANTA Mª DE LA CABEZA;Pº;171;-;M-30;SANTA Mª DE LA CABEZA, Pº Nº171 - M-30;439423,1;4471193,4;SI;55/60/N17/;439313,69;4470985,93;-3.7150005;40.3872586
2537;;MARQUESINA MOD XXI 4-M STD;USERA;SANTA Mª DE LA CABEZA;Pº;103;JTO PARQUE DE BOMBEROS;M-30;SANTA Mª DE LA CABEZA, Pº Nº103 JTO PARQUE DE BOMBEROS M-30;440045,7;4471660,1;SI;55/60/N17/;439936,29;4471452,63;-3.7077096;40.391508
1144;;MARQUESINA MOD XXI 4-M STD;VILLAVERDE;MANOJO DE ROSAS (LA DEL);CALLE;80;-;C/ ALCOCER;MANOJO DE ROSAS (LA DEL),CALLE Nº80 - C/ ALCOCER;440839,9;4467584,4;SI;18/86/116/;440730,44;4467376,91;-3.6979742;40.3548485
1145;;MARQUESINA MOD XXI 4-M STD;VILLAVERDE;MANOJO DE ROSAS (LA DEL);CALLE;0;ESQ C/ ANOETA;C/ ALCOCER;MANOJO DE ROSAS (LA DEL),CALLE Nº0 ESQ C/ ANOETA C/ ALCOCER;440763,4;4467371,9;SI;18/86/116/N14/;440653,94;4467164,41;-3.6988552;40.3529288
1143;;MARQUESINA MOD XXI 4-M STD;VILLAVERDE;BOHEMIOS;CALLE;0;ESQ C/ LA DEL MANOJO DE ROSAS;MANOJO DE ROSAS;BOHEMIOS, CALLE Nº0 ESQ C/ LA DEL MANOJO DE ROSAS MANOJO DE ROSAS;440936,4;4467763,1;SI;18/86/N14/;440826,94;4467555,61;-3.6968544;40.3564652
3201;;MARQUESINA MOD XXI 4-M STD;ARGANZUELA;MOLINO (DEL);Pº;0;DESP. PZA DE LEGAZPI;M-30;MOLINO (DEL), Pº Nº0 DESP. PZA DE LEGAZPI M-30;441176,2;4471555,9;SI;62/148/423/;441066,78;4471348,42;-3.6943807;40.3906499
3504;;MARQUESINA MOD XXI 5-M STD;MORATALAZ;ENCUENTRO;PZA;0;ESQ AV MORATALAZ;AV MORATALAZ;ENCUENTRO, PZA Nº0 ESQ AV MORATALAZ AV MORATALAZ;444825,2;4473210,8;SI;100/;444715,76;4473003,27;-3.6515331;40.405808
