CODIGO CONTENEDOR;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;COORD UTM ETRS89 X;COORD UTM ETRS89 Y;FECHA PUESTA EN SERVICIO;Longitud;Latitud;Nombre
020135CV;3;RETIRO;PASEO;REINA CRISTINA;6;442023.07;4473116.44;06/09/2017;-3,683275;40,4066443;PASEO REINA CRISTINA, 6
020127CV;3;RETIRO;CALLE;CAVANILLES;39;442823.66;4472941.96;17/10/2016;-3,6738248;40,4051279;CALLE CAVANILLES, 39
020126CV;3;RETIRO;CALLE;CAVANILLES;19;442627.16;4473070.69;17/10/2016;-3,676152;40,406274;CALLE CAVANILLES, 19
020122CV;3;RETIRO;AVENIDA;MENENDEZ PELAYO;103;442345.43;4473071.91;24/10/2016;-3,6794721;40,4062655;AVENIDA MENENDEZ PELAYO, 103
020121CV;3;RETIRO;PLAZA;NIÑO JESUS;6;442637.87;4473622.28;17/10/2016;-3,6760755;40,4112438;PLAZA NIÑO JESUS, 6
020130CV;3;RETIRO;CALLE;DOCTOR ESQUERDO;153;443172.20;4473474.63;24/10/2016;-3,6697651;40,4099503;CALLE DOCTOR ESQUERDO, 153
020128CV;3;RETIRO;PLAZA;CONDE DE CASAL;7;443171.01;4473035.13;07/11/2016;-3,6697398;40,405991;PLAZA CONDE DE CASAL, 7
020125CV;3;RETIRO;CALLE;CRUZ DEL SUR;5;443300.57;4473634.25;24/10/2016;-3,6682664;40,411397;CALLE CRUZ DEL SUR, 5
020124CV;3;RETIRO;CALLE;ANTONIO MAURA;22;441533.11;4474219.29;24/10/2016;-3,6891503;40,4165451;CALLE ANTONIO MAURA, 22
020120CV;3;RETIRO;AVENIDA;MEDITERRANEO;18;442708.26;4473159.28;17/10/2016;-3,6752043;40,4070777;AVENIDA MEDITERRANEO, 18
020119CV;3;RETIRO;AVENIDA;MEDITERRANEO;26;442812.04;4473144.09;31/10/2016;-3,6739799;40,406948;AVENIDA MEDITERRANEO, 26
020134CV;3;RETIRO;CALLE;NARVAEZ;28;442642.75;4474735.48;07/03/2017;-3,6761184;40,4212724;CALLE NARVAEZ, 28
020082CV;3;RETIRO;CALLE;GANDIA;8;443077.47;4472131.24;22/05/2017;-3,6707613;40,3978418;CALLE GANDIA, 8
020133CV;3;RETIRO;CALLE;NARVAEZ;78;442609.45;4474218.19;12/09/2016;-3,6764642;40,4166101;CALLE NARVAEZ, 78
020138CV;4;SALAMANCA;CALLE;ALCALA;145;442589.27;4475058.44;19/09/2016;-3,6767779;40,4241781;CALLE ALCALA, 145
020146CV;4;SALAMANCA;CALLE;GOYA;82;442825.32;4475106.35;19/09/2016;-3,6739998;40,424626;CALLE GOYA, 82
020154CV;4;SALAMANCA;CALLE;VELAZQUEZ;23;441945.95;4475030.89;19/09/2016;-3,6843586;40,4238853;CALLE VELAZQUEZ, 23
020151CV;4;SALAMANCA;CALLE;NARVAEZ;17;442672.81;4474881.02;26/09/2016;-3,6757772;40,4225856;CALLE NARVAEZ, 17
020147CV;4;SALAMANCA;CALLE;GOYA;102;443091.32;4475087.48;03/10/2016;-3,6708625;40,4244742;CALLE GOYA, 102
020144CV;4;SALAMANCA;PASEO;MARQUES DE ZAFRA;1;443310.49;4475364.10;10/10/2016;-3,6683037;40,4269811;PASEO MARQUES DE ZAFRA, 1
020158CV;4;SALAMANCA;PLAZA;MANUEL BECERRA;5;443226.21;4475504.75;31/10/2016;-3,6693098;40,4282424;PLAZA MANUEL BECERRA, 5
020157CV;4;SALAMANCA;PLAZA;MANUEL BECERRA;16;443317.32;4475459.34;21/11/2016;-3,6682317;40,4278395;PLAZA MANUEL BECERRA, 16
020145CV;4;SALAMANCA;AVENIDA;TOREROS;1;443037.09;4475890.49;31/10/2016;-3,6715737;40,4317044;AVENIDA TOREROS, 1
020141CV;4;SALAMANCA;CALLE;CONDE DE PEÑALVER;48;442730.26;4475703.35;31/10/2016;-3,6751741;40,4299975;CALLE CONDE DE PEÑALVER, 48
020140CV;4;SALAMANCA;CALLE;DON RAMON DE LA CRUZ;81;442721.24;4475566.59;07/11/2016;-3,6752681;40,4287649;CALLE DON RAMON DE LA CRUZ, 81
020155CV;4;SALAMANCA;CALLE;JOSE ORTEGA Y GASSET;27;441979.93;4475750.93;28/11/2016;-3,6840237;40,4303741;CALLE JOSE ORTEGA Y GASSET, 27
020149CV;4;SALAMANCA;CALLE;JOSE ORTEGA Y GASSET;15;441818.82;4475762.50;21/11/2016;-3,6859241;40,4304671;CALLE JOSE ORTEGA Y GASSET, 15
020148CV;4;SALAMANCA;CALLE;JOSE ORTEGA Y GASSET;32;442215.91;4475735.16;28/11/2016;-3,6812404;40,4302485;CALLE JOSE ORTEGA Y GASSET, 32
020152CV;4;SALAMANCA;CALLE;DIEGO DE LEON;41;442366.60;4476246.00;28/11/2016;-3,6795103;40,4348608;CALLE DIEGO DE LEON, 41
020142CV;4;SALAMANCA;CALLE;CONDE DE PEÑALVER;84;442756.26;4476041.39;19/12/2016;-3,674898;40,4330445;CALLE CONDE DE PEÑALVER, 84
020153CV;4;SALAMANCA;CALLE;PRINCIPE DE VERGARA;55;442375.78;4476013.04;26/12/2016;-3,679381;40,4327629;CALLE PRINCIPE DE VERGARA, 55
020137CV;4;SALAMANCA;CALLE;CARTAGENA;93;442917.17;4476686.23;12/09/2016;-3,6730589;40,4388646;CALLE CARTAGENA, 93
020143CV;4;SALAMANCA;CALLE;DIEGO DE LEON;66;442787.43;4476192.86;28/01/2017;-3,6745442;40,4344112;CALLE DIEGO DE LEON, 66
020077CV;4;SALAMANCA;CALLE;FRANCISCO SILVELA;13;443115.84;4475676.28;02/01/2017;-3,6706262;40,4297801;CALLE FRANCISCO SILVELA, 13
020048CV;5;CHAMARTIN;CALLE;CORAZON DE MARIA;41;443429.55;4477405.31;10/10/2016;-3,6670819;40,4453775;CALLE CORAZON DE MARIA, 41
