"route_id","i","j","distance","traffic_time","base_time","route_lat","route_long","start_street_side","start_street_name","stop_street_side","stop_street_name","step_id"
"1",9,8,4670,1088,991,40.4261041,-3.6926293,"right","Calle de la Princesa","left","Calle del Cenicero",95
"1",9,8,4670,1088,991,40.4260182,-3.6924577,"right","Calle de la Princesa","left","Calle del Cenicero",96
"1",9,8,4670,1088,991,40.42575,-3.6919105,"right","Calle de la Princesa","left","Calle del Cenicero",97
"1",9,8,4670,1088,991,40.4255676,-3.6915672,"right","Calle de la Princesa","left","Calle del Cenicero",98
"1",9,8,4670,1088,991,40.4254925,-3.6915135,"right","Calle de la Princesa","left","Calle del Cenicero",99
"1",9,8,4670,1088,991,40.4254174,-3.691417,"right","Calle de la Princesa","left","Calle del Cenicero",100
"1",9,8,4670,1088,991,40.4252994,-3.6912024,"right","Calle de la Princesa","left","Calle del Cenicero",101
"1",9,8,4670,1088,991,40.4252458,-3.6910737,"right","Calle de la Princesa","left","Calle del Cenicero",102
"1",9,8,4670,1088,991,40.4252243,-3.6909342,"right","Calle de la Princesa","left","Calle del Cenicero",103
"1",9,8,4670,1088,991,40.4251814,-3.6909235,"right","Calle de la Princesa","left","Calle del Cenicero",104
"1",9,8,4670,1088,991,40.4251492,-3.690902,"right","Calle de la Princesa","left","Calle del Cenicero",105
"1",9,8,4670,1088,991,40.4250848,-3.6909664,"right","Calle de la Princesa","left","Calle del Cenicero",106
"1",9,8,4670,1088,991,40.4250205,-3.6909986,"right","Calle de la Princesa","left","Calle del Cenicero",107
"1",9,8,4670,1088,991,40.4248381,-3.6910415,"right","Calle de la Princesa","left","Calle del Cenicero",108
"1",9,8,4670,1088,991,40.4246771,-3.6911166,"right","Calle de la Princesa","left","Calle del Cenicero",109
"1",9,8,4670,1088,991,40.4234326,-3.6916852,"right","Calle de la Princesa","left","Calle del Cenicero",110
"1",9,8,4670,1088,991,40.4232502,-3.691771,"right","Calle de la Princesa","left","Calle del Cenicero",111
"1",9,8,4670,1088,991,40.4224455,-3.6921251,"right","Calle de la Princesa","left","Calle del Cenicero",112
"1",9,8,4670,1088,991,40.4218876,-3.6924148,"right","Calle de la Princesa","left","Calle del Cenicero",113
"1",9,8,4670,1088,991,40.4202247,-3.6931765,"right","Calle de la Princesa","left","Calle del Cenicero",114
"1",9,8,4670,1088,991,40.4199135,-3.6933482,"right","Calle de la Princesa","left","Calle del Cenicero",115
"1",9,8,4670,1088,991,40.4197741,-3.693434,"right","Calle de la Princesa","left","Calle del Cenicero",116
"1",9,8,4670,1088,991,40.4196882,-3.6934876,"right","Calle de la Princesa","left","Calle del Cenicero",117
"1",9,8,4670,1088,991,40.4196024,-3.6935627,"right","Calle de la Princesa","left","Calle del Cenicero",118
"1",9,8,4670,1088,991,40.4194093,-3.6936593,"right","Calle de la Princesa","left","Calle del Cenicero",119
"1",9,8,4670,1088,991,40.419302,-3.6936915,"right","Calle de la Princesa","left","Calle del Cenicero",120
"1",9,8,4670,1088,991,40.4191196,-3.6937344,"right","Calle de la Princesa","left","Calle del Cenicero",121
"1",9,8,4670,1088,991,40.4189909,-3.6937666,"right","Calle de la Princesa","left","Calle del Cenicero",122
"1",9,8,4670,1088,991,40.4188621,-3.6937988,"right","Calle de la Princesa","left","Calle del Cenicero",123
"1",9,8,4670,1088,991,40.4187334,-3.6938417,"right","Calle de la Princesa","left","Calle del Cenicero",124
"1",9,8,4670,1088,991,40.4183149,-3.6939704,"right","Calle de la Princesa","left","Calle del Cenicero",125
"1",9,8,4670,1088,991,40.4174352,-3.6942065,"right","Calle de la Princesa","left","Calle del Cenicero",126
"1",9,8,4670,1088,991,40.4171348,-3.6942816,"right","Calle de la Princesa","left","Calle del Cenicero",127
"1",9,8,4670,1088,991,40.4166949,-3.6943996,"right","Calle de la Princesa","left","Calle del Cenicero",128
"1",9,8,4670,1088,991,40.4165769,-3.6944318,"right","Calle de la Princesa","left","Calle del Cenicero",129
"1",9,8,4670,1088,991,40.4159546,-3.6946142,"right","Calle de la Princesa","left","Calle del Cenicero",130
"1",9,8,4670,1088,991,40.4158151,-3.6946356,"right","Calle de la Princesa","left","Calle del Cenicero",131
"1",9,8,4670,1088,991,40.4155898,-3.6946249,"right","Calle de la Princesa","left","Calle del Cenicero",132
"1",9,8,4670,1088,991,40.4154932,-3.6945927,"right","Calle de la Princesa","left","Calle del Cenicero",133
"1",9,8,4670,1088,991,40.4153216,-3.6945391,"right","Calle de la Princesa","left","Calle del Cenicero",134
"1",9,8,4670,1088,991,40.4152036,-3.6944854,"right","Calle de la Princesa","left","Calle del Cenicero",135
"1",9,8,4670,1088,991,40.415107,-3.6944318,"right","Calle de la Princesa","left","Calle del Cenicero",136
"1",9,8,4670,1088,991,40.4148817,-3.694303,"right","Calle de la Princesa","left","Calle del Cenicero",137
"1",9,8,4670,1088,991,40.4147208,-3.6942279,"right","Calle de la Princesa","left","Calle del Cenicero",138
"1",9,8,4670,1088,991,40.4146135,-3.694185,"right","Calle de la Princesa","left","Calle del Cenicero",139
"1",9,8,4670,1088,991,40.4143238,-3.694067,"right","Calle de la Princesa","left","Calle del Cenicero",140
"1",9,8,4670,1088,991,40.4139161,-3.6938953,"right","Calle de la Princesa","left","Calle del Cenicero",141
"1",9,8,4670,1088,991,40.4134548,-3.6937022,"right","Calle de la Princesa","left","Calle del Cenicero",142
"1",9,8,4670,1088,991,40.4130793,-3.693552,"right","Calle de la Princesa","left","Calle del Cenicero",143
"1",9,8,4670,1088,991,40.4128647,-3.6934555,"right","Calle de la Princesa","left","Calle del Cenicero",144
"1",9,8,4670,1088,991,40.4127359,-3.6934125,"right","Calle de la Princesa","left","Calle del Cenicero",145
"1",9,8,4670,1088,991,40.4126287,-3.6933696,"right","Calle de la Princesa","left","Calle del Cenicero",146
"1",9,8,4670,1088,991,40.4124677,-3.6933053,"right","Calle de la Princesa","left","Calle del Cenicero",147
"1",9,8,4670,1088,991,40.412178,-3.6932087,"right","Calle de la Princesa","left","Calle del Cenicero",148
"1",9,8,4670,1088,991,40.411824,-3.6931014,"right","Calle de la Princesa","left","Calle del Cenicero",149
"1",9,8,4670,1088,991,40.4114163,-3.6929619,"right","Calle de la Princesa","left","Calle del Cenicero",150
"1",9,8,4670,1088,991,40.4111803,-3.6928868,"right","Calle de la Princesa","left","Calle del Cenicero",151
"1",9,8,4670,1088,991,40.4108262,-3.6927903,"right","Calle de la Princesa","left","Calle del Cenicero",152
"1",9,8,4670,1088,991,40.4106653,-3.6927366,"right","Calle de la Princesa","left","Calle del Cenicero",153
"1",9,8,4670,1088,991,40.4101074,-3.6925435,"right","Calle de la Princesa","left","Calle del Cenicero",154
"1",9,8,4670,1088,991,40.409807,-3.6924362,"right","Calle de la Princesa","left","Calle del Cenicero",155
"1",9,8,4670,1088,991,40.4095924,-3.6923718,"right","Calle de la Princesa","left","Calle del Cenicero",156
